name,poptot,pwhit,pblck,phisp,pasin,poth,prent,pownr,mhhinc,fz_cat,fzr20_100y,fzr50_100y,bct2020,tract,key
"Census Tract 172, Queens County, New York",2224,0.011690647482014389,0.2981115107913669,0.125,0.17535971223021582,0.38983812949640295,0.14905149051490515,0.8509485094850948,63750,Not in flood zone,0,0,4017200,017200,081017200
"Census Tract 178, Queens County, New York",2084,0.012476007677543186,0.32485604606525914,0.14875239923224567,0.20009596928982726,0.3138195777351247,0.16350496838301717,0.8364950316169828,69261,Not in flood zone,0,0,4017800,017800,081017800
"Census Tract 183, Queens County, New York",6044,0.40320979483785574,0.01671078755790867,0.3060886829913964,0.23362011912640634,0.04037061548643284,0.6741830065359478,0.3258169934640523,89480,Not in flood zone,0,0,4018300,018300,081018300
"Census Tract 371, Queens County, New York",1917,0.05529473135106938,0.2535211267605634,0.5174752217005738,0.12415232133541992,0.04955659885237362,0.13043478260869565,0.8695652173913043,62266,2020 100-year flood zone,1,1,4037100,037100,081037100
"Census Tract 376, Queens County, New York",6373,0.010042366232543544,0.8120194570845756,0.08488937705946964,0.028871802918562686,0.06417699670484855,0.24670523947283832,0.7532947605271617,93520,Not in flood zone,0,0,4037600,037600,081037600
"Census Tract 394, Queens County, New York",3332,0.010804321728691477,0.7959183673469388,0.10774309723889555,0.01920768307322929,0.06632653061224492,0.25208044382801664,0.7479195561719834,90586,Not in flood zone,0,0,4039400,039400,081039400
"Census Tract 398, Queens County, New York",1688,0.013033175355450236,0.7962085308056872,0.1066350710900474,0.016587677725118485,0.06753554502369663,0.0967551622418879,0.903244837758112,102841,Not in flood zone,0,0,4039800,039800,081039800
"Census Tract 86, Queens County, New York",2989,0.25627300100368017,0.04784208765473402,0.4295751087320174,0.15657410505185682,0.10973569755771173,0.40665236051502146,0.5933476394849786,69412,Not in flood zone,0,0,4008600,008600,081008600
"Census Tract 95, Queens County, New York",2510,0.646613545816733,0.01952191235059761,0.17211155378486057,0.10796812749003984,0.05378486055776899,0.7671232876712328,0.2328767123287671,87465,Not in flood zone,0,0,4009500,009500,081009500
"Census Tract 98, Queens County, New York",2631,0.0653743823641201,0.11022424933485367,0.13873052071455722,0.31546940326871914,0.37020144431774993,0.48915112295393987,0.5108488770460602,75288,Not in flood zone,0,0,4009800,009800,081009800
"Census Tract 101, Queens County, New York",2654,0.7045968349660889,0.0146948003014318,0.15410700828937454,0.06895252449133384,0.05764883195177095,0.6505288852725793,0.34947111472742065,65321,Not in flood zone,0,0,4010100,010100,081010100
"Census Tract 103, Queens County, New York",4150,0.6074698795180723,0.019759036144578312,0.17373493975903614,0.15012048192771085,0.04891566265060243,0.7095179233621756,0.2904820766378245,66706,2020 100-year flood zone,1,1,4010300,010300,081010300
"Census Tract 108, Queens County, New York",3034,0.03724456163480554,0.10810810810810811,0.2007251153592617,0.4080421885299934,0.24588002636783124,0.43186180422264875,0.5681381957773513,78750,Not in flood zone,0,0,4010800,010800,081010800
"Census Tract 112, Queens County, New York",2497,0.11613936724068882,0.05847016419703644,0.31277533039647576,0.3091710052062475,0.20344413295955144,0.4404121863799283,0.5595878136200717,57212,Not in flood zone,1,1,4011200,011200,081011200
"Census Tract 115, Queens County, New York",2414,0.5973487986743994,0.018641259320629662,0.2087821043910522,0.11184755592377796,0.06338028169014087,0.6556717618664522,0.34432823813354785,83846,Not in flood zone,0,0,4011500,011500,081011500
"Census Tract 117, Queens County, New York",3840,0.6703125,0.01484375,0.15677083333333333,0.11015625,0.04791666666666672,0.7393416082029142,0.26065839179708583,99009,Not in flood zone,0,0,4011700,011700,081011700
"Census Tract 122, Queens County, New York",2802,0.06602426837972876,0.07351891506067094,0.36616702355460384,0.3483226266952177,0.1459671663097788,0.3573133310603478,0.6426866689396522,57455,Not in flood zone,0,0,4012200,012200,081012200
"Census Tract 126.02, Queens County, New York",2715,0.08066298342541436,0.06408839779005525,0.5572744014732965,0.17974217311233887,0.11823204419889499,0.5130755064456722,0.4869244935543278,61583,Not in flood zone,0,0,4012602,012602,081012602
